geneA,geneB,selfpairs
YLR067C,YOR090C,0
YGL187C,YEL024W,0
Q0080,Q0045,0
YGL191W,YPR042C,0
YML030W,Q0250,0
YJR045C,YGL191W,0
YDR231C,YGR033C,0
YDL160C,YKR016W,0
YLR203C,YPR191W,0
YBL075C,YDR119W-A,0
YGL122C,YJR045C,0
YNL026W,YGL191W,0
YIL111W,YGL187C,0
YOL027C,YNL026W,0
YBR024W,YLR320W,0
YGR222W,Q0060,0
YBL045C,YML081C-A,0
YBL045C,YKR016W,0
YDR529C,YBR120C,0
YEL024W,YML129C,0
YLR203C,YBL030C,0
Q0105,Q0110,0
Q0250,YOR090C,0
YLR203C,YGL122C,0
Q0045,YLR320W,0
YDR529C,YKR016W,0
Q0250,YPR042C,0
YKR016W,YGL122C,0
YBR009C,YBL045C,0
Q0080,YJL166W,0
YKR016W,YJR045C,0
YKR016W,YPL078C,0
YDR231C,YGL122C,0
YPL215W,YDL160C,0
YER154W,YNR018W,0
YNL052W,YNL026W,0
YJR121W,Q0250,0
YBR039W,YDR119W-A,0
Q0055,YNR018W,0
Q0140,YDR231C,0
YJR045C,Q0085,0
YPR191W,Q0250,0
YKR016W,YNR018W,0
YNR018W,YBR037C,0
YDL160C,Q0275,0
YLR203C,YHR051W,0
YNL305C,YGR033C,0
Q0080,Q0275,0
YGL187C,YDL004W,0
Q0085,YLR393W,0
Q0140,YKR016W,0
YGR033C,YML030W,0
YBR039W,YGL122C,0
YBL045C,Q0110,0
YOL027C,Q0255,0
Q0115,Q0275,0
YDR529C,YIL111W,0
Q0045,Q0085,0
YML129C,YPR042C,0
YDL004W,YDL160C,0
YPR191W,YKL016C,0
YGL122C,Q0140,0
YML081C-A,Q0105,0
YGL122C,YNR018W,0
YLR395C,YML030W,0
YBR024W,YNL026W,0
YNR017W,YPR042C,0
YBL045C,YGL122C,0
YGL122C,Q0045,0
Q0275,YDL107W,0
YHR076W,YBR039W,0
YOR090C,YJR121W,0
YNL052W,YJR045C,0
YGL191W,YDL160C,0
Q0275,YCR106W,0
YBR185C,YGL122C,0
YPR191W,YGL122C,0
Q0085,YKR016W,0
YGL187C,YPL215W,0
YGR174C,YDR119W-A,0
YGL187C,YPL215W,0
YOL027C,YIL051C,0
YEL024W,YPR042C,0
YBL045C,YKR016W,0
Q0085,YOR065W,0
Q0250,YDL160C,0
Q0045,Q0065,0
YHL004W,YDR375C,0
YBL030C,YGR112W,0
YNR017W,YNL026W,0
YBL045C,Q0045,0
YDR231C,Q0050,0
YJL166W,Q0105,0
YDR529C,Q0140,0
YDR231C,YDL160C,0
Q0158,YBL045C,0
YPR125W,YDR529C,0
YGR112W,YDR231C,0
YKR016W,Q0080,0
YPL215W,YPL271W,0
YGL122C,YLR382C,0
YNL305C,YKR016W,0
YBL030C,YLR393W,0
YBL099W,YJL166W,0
YBR185C,YKR016W,0
YML129C,YBR039W,0
YHR051W,YPL172C,0
