id1	id2	selfpairs
YBL045C	YML081C-A	0
YBL045C	YNR019W	0
YBL099W	Q0140	0
Q0045	Q0250	0
YJR045C	YMR244C-A	0
YBL030C	Q0085	0
YGL122C	YLR320W	0
YPR042C	YKL016C	0
Q0050	YGL187C	0
YPR191W	YBR009C	0
Q0045	YBL045C	0
YDR231C	YLR395C	0
YMR256C	YNL030W	0
Q0085	YGL187C	0
YGL187C	YNL026W	0
YGL187C	YLR395C	0
Q0085	YJR045C	0
YJR121W	YGR112W	0
Q0045	Q0080	0
YHL004W	YGR037C	0
YPL271W	Q0130	0
YJL062W-A	YHR076W	0
YDL160C	YGL187C	0
YDL160C	YLR203C	0
YLR203C	YEL024W	0
YGR062C	YBL045C	0
Q0045	Q0130	0
YBR024W	YJR045C	0
YGR037C	Q0250	0
YBL030C	YML129C	0
YBL099W	YHR051W	0
YML129C	YOR065W	0
YNL052W	YGL122C	0
Q0275	YKL016C	0
YDL160C	YKL016C	0
Q0065	YNL026W	0
YKL016C	YDR231C	0
YGR112W	YHR051W	0
Q0250	YGR033C	0
Q0045	Q0080	0
YGL122C	YBR039W	0
YGL187C	Q0250	0
YPL215W	YIL051C	0
YDR377W	YDL004W	0
YHR051W	Q0160	0
Q0130	YKR016W	0
YGL187C	YJL166W	0
YGL122C	YKL016C	0
YGL191W	YJL062W-A	0
Q0158	YHR051W	0
YKR016W	YGR033C	0
YKR016W	YGL191W	0
Q0105	YBR120C	0
YBL030C	Q0085	0
YOL027C	YHR076W	0
YOR065W	YKR016W	0
YJR045C	YIL157C	0
YBR185C	YOR090C	0
Q0275	YLR320W	0
YHR051W	YBL030C	0
YKR016W	YPR191W	0
YPR042C	YHR051W	0
YBR185C	Q0250	0
YOL027C	YGR037C	0
Q0250	YJR121W	0
Q0250	YJR121W	0
YHR051W	YDR529C	0
YDR231C	YGR174C	0
YBR024W	YNL052W	0
Q0110	YKR016W	0
YEL024W	YDL160C	0
YKR016W	YBL045C	0
YLR395C	YDL160C	0
YBL030C	YPL271W	0
YJL014W	Q0275	0
Q0085	YBR255C-A	0
Q0045	YNL052W	0
YJR045C	YPR042C	0
YBL030C	Q0250	0
YDR231C	YHR076W	0
YJL166W	YGL122C	0
YGL122C	YNL305C	0
YBL030C	YJR045C	0
YPL172C	YBL099W	0
YER154W	YGL187C	0
YGL187C	YML129C	0
YER142C	YGL122C	0
YGR062C	YLR203C	0
YPL215W	YBL045C	0
YLR203C	YJL014W	0
YPL078C	YJR121W	0
Q0110	YJL062W-A	0
YPR042C	YBL045C	0
Q0130	YDL156W	0
YGL187C	YJR045C	0
YKR016W	Q0055	0
YEL024W	Q0250	0
YLR320W	YBL075C	0
YBR037C	YGL122C	0
YPR042C	YPR125W	0
Q0275	YHR051W	0
Q0255	YBL045C	0
Q0130	Q0045	0
Q0250	YJL062W-A	0
YOL027C	YGL187C	0
YJR121W	YGL122C	0
YBL099W	YDL160C	0
YKL155C	Q0045	0
YER154W	YJR045C	0
YGL187C	YGL191W	0
YJL166W	YKR016W	0
YDR119W-A	YEL024W	0
YIL111W	YGR222W	0
YDL160C	YBL045C	0
YGL187C	Q0105	0
YOR065W	YDR231C	0
YGR222W	YIL111W	0
YBL075C	Q0105	0
YGL187C	YJR045C	0
YLR203C	YDL160C	0
YNR018W	YDL160C	0
Q0105	Q0250	0
YDR119W-A	YGR033C	0
Q0105	Q0115	0
Q0050	YGL122C	0
YML129C	YPR042C	0
YML129C	YIL157C	0
YPR042C	Q0045	0
Q0250	YBR009C	0
YEL024W	YPR042C	0
YGL122C	YBR185C	0
YNR018W	Q0105	0
YNL030W	YML030W	0
YHR051W	YLR393W	0
YGL122C	YGL064C	0
YGR033C	Q0080	0
YDL160C	YJR121W	0
YLR395C	YDR377W	0
Q0050	YHL038C	0
YDL160C	YDR529C	0
YGR112W	YGR033C	0
YGL122C	YKR016W	0
Q0085	YPL078C	0
YJR121W	YIL111W	0
YNR018W	YGL191W	0
Q0250	YDL160C	0
YNR018W	YPL172C	0
YOR065W	YDL160C	0
YMR256C	YIL051C	0
YDL160C	Q0080	0
YNL030W	YPL215W	0
YMR256C	YML030W	0
YJL014W	YPR042C	0
YNL305C	YBR024W	0
YGL191W	YGR033C	0
YKR016W	Q0140	0
YNR018W	YDL160C	0
Q0070	YIL051C	0
YJR045C	YNL026W	0
YNR017W	YDL004W	0
Q0080	YNR018W	0
YNL030W	YLR203C	0
YDL160C	YGL187C	0
YIR021W	YML081C-A	0
YKR016W	YPR191W	0
YBR039W	YPL271W	0
YBL030C	YPR042C	0
YDL160C	YEL024W	0
YKL016C	YHR076W	0
YGL191W	Q0250	0
YBL045C	YKL155C	0
YBL045C	YDL160C	0
Q0120	YNL026W	0
YOR065W	YJL166W	0
YBR039W	YNR018W	0
YDL160C	YIL157C	0
YGR033C	Q0140	0
YGR174C	YLR203C	0
YGL122C	YML129C	0
YER154W	YNL052W	0
Q0045	YBL045C	0
Q0050	YGL187C	0
YDL160C	YLR067C	0
YDR529C	YDR231C	0
YBR255C-A	YGR112W	0
YOR065W	YJR045C	0
YKR016W	YDL156W	0
YOR065W	YHL004W	0
YOR090C	Q0045	0
YJR045C	YDL160C	0
Q0275	YEL024W	0
YKR016W	YGR112W	0
YLR320W	YOL027C	0
YGL122C	YNL052W	0
YPL271W	YDL004W	0
Q0105	YPR191W	0
YMR256C	YIL051C	0
YML129C	YPR191W	0
YKL016C	YJR045C	0
YBL045C	YOR065W	0
YHR051W	YNL052W	0
Q0045	YJR045C	0
YJR121W	YPR191W	0
YBL045C	YML129C	0
Q0050	YDR231C	0
Q0250	YGL191W	0
YJR045C	YNR017W	0
YPL078C	YLR295C	0
Q0115	YBL045C	0
Q0045	YPL078C	0
YHR051W	YBR039W	0
Q0275	YGL191W	0
Q0105	YLR320W	0
YDR231C	YNL052W	0
YPR042C	Q0055	0
YML129C	YNL026W	0
YJR045C	YBL030C	0
YBR255C-A	YPR042C	0
YDL160C	YJR045C	0
Q0085	YOL027C	0
YGL187C	Q0105	0
YKR016W	YIL157C	0
Q0250	YIL157C	0
YKL155C	YNR017W	0
YKL016C	YNL155W	0
YGL122C	YKR016W	0
YBR120C	YML129C	0
YDL156W	YEL024W	0
YOR065W	YPR191W	0
YPR042C	YER142C	0
YGL187C	YOR065W	0
YLR295C	YKR016W	0
YKR016W	Q0115	0
YPL078C	YML030W	0
YDL160C	Q0020	0
YPR140W	Q0105	0
YHL004W	YHL038C	0
Q0130	YLR393W	0
YGL122C	YNR017W	0
YPR191W	YDL160C	0
YGR222W	Q0110	0
YBL045C	YDR231C	0
YBL045C	YBR120C	0
YBL099W	Q0105	0
Q0250	YML030W	0
YDL107W	Q0255	0
YKL155C	YDL160C	0
YBR185C	YHR076W	0
YJR121W	YGR222W	0
YIL111W	YGL122C	0
YDL160C	YBR024W	0
YNR018W	YDR231C	0
YDR119W-A	Q0275	0
