geneA,geneB,selfpairs
Q0255,Q0085,0
YER154W,YGL122C,0
YIL051C,YJR121W,0
YGL122C,YEL024W,0
YMR244C-A,YPR042C,0
YJL062W-A,YBR024W,0
YGR062C,YDR377W,0
YNL026W,YNL052W,0
YBL030C,YJR121W,0
Q0080,YGR112W,0
YML030W,YJR045C,0
YBL045C,YDR231C,0
YGL187C,YKL155C,0
YBL030C,YDL160C,0
YHR076W,YMR244C-A,0
Q0080,YDL160C,0
YJR045C,YNL026W,0
YPL078C,Q0085,0
YLR295C,YJR121W,0
YLR203C,YDR375C,0
YGL122C,YJL166W,0
YGL122C,YNR017W,0
YLR393W,Q0250,0
YGL187C,Q0250,0
YGL187C,YPR191W,0
YPR042C,Q0275,0
Q0105,Q0250,0
Q0140,YPL078C,0
YBL099W,YER154W,0
Q0115,YBL030C,0
YLR320W,YHR076W,0
YBL075C,YIL111W,0
Q0070,YML081C-A,0
YLR295C,YGL187C,0
YHL004W,YJL014W,0
YEL024W,YBL030C,0
YGR062C,YGL122C,0
Q0105,YNR018W,0
YBR037C,YDR231C,0
YNL026W,Q0250,0
YBL045C,YJR121W,0
YLR203C,YDL004W,0
YJR045C,YDR529C,0
Q0250,YMR244C-A,0
YPR042C,YBR037C,0
Q0250,YNL026W,0
YDL160C,YJR121W,0
YDL160C,YDR231C,0
YDL160C,YOR065W,0
YEL024W,YJL014W,0
YCR106W,Q0140,0
YML030W,YML129C,0
Q0275,YBL099W,0
Q0105,YBR024W,0
YNL052W,YDL160C,0
YGL122C,YHR051W,0
Q0105,YGR222W,0
YPR042C,YPR191W,0
Q0140,YPR042C,0
YPL172C,YPR191W,0
YBL045C,YNL052W,0
YLR067C,YOR065W,0
YPR042C,YNL052W,0
YEL024W,YBR039W,0
YJR045C,YNL052W,0
YBR037C,YJR045C,0
YNL026W,YKR016W,0
YKR016W,YPL078C,0
YLR203C,YOL027C,0
YJL062W-A,YLR203C,0
YHR051W,YKL016C,0
YPR191W,Q0275,0
Q0050,Q0250,0
YGL187C,YGL122C,0
YDL160C,Q0085,0
YDL004W,YJR045C,0
YGL122C,YKR016W,0
Q0050,YMR256C,0
YNR018W,YNL052W,0
Q0140,YLR393W,0
YPR042C,YLR393W,0
YML129C,YGR112W,0
YNR018W,YDR377W,0
Q0250,YML030W,0
YHL004W,YJR045C,0
Q0275,YGL122C,0
YDL160C,YBL030C,0
YML129C,Q0115,0
YHR051W,YNR017W,0
YGL187C,YDR119W-A,0
Q0045,YPR042C,0
Q0120,YJR045C,0
YBR185C,YJR045C,0
YGL187C,YJR045C,0
YJR045C,Q0275,0
YGL122C,YOL027C,0
YML081C-A,Q0105,0
YKL016C,YPR191W,0
YOR065W,YGL187C,0
YPL078C,YLR393W,0
Q0250,YDR529C,0
YBL030C,YKR016W,0
Q0085,Q0120,0
Q0120,YJL062W-A,0
Q0085,YDL160C,0
YGL122C,YBR009C,0
YDR529C,YJL166W,0
YJL062W-A,YGR112W,0
YGL122C,YHR076W,0
YHR051W,YBL030C,0
YGL122C,YDR377W,0
YBR185C,YML030W,0
YPR042C,YDR231C,0
YDL107W,YBR255C-A,0
YDL160C,YGL187C,0
Q0110,YGR037C,0
YBR120C,Q0250,0
YGL122C,Q0250,0
Q0045,YIL111W,0
YDR529C,YPR191W,0
YKR016W,YGL187C,0
YEL024W,YDR119W-A,0
YPR042C,Q0085,0
YNR017W,Q0140,0
YBL045C,YJR121W,0
YPR191W,YBR009C,0
YNL155W,YGL191W,0
YBR039W,YPL078C,0
YJR045C,Q0115,0
YKL155C,YML129C,0
YPL271W,YDR231C,0
YOR090C,YGL064C,0
YML081C-A,YDL160C,0
YNL030W,YER154W,0
YNL305C,YPL078C,0
YDR377W,YPL215W,0
Q0250,YML030W,0
YDR231C,YJR045C,0
YPL271W,YHL004W,0
YIL157C,Q0080,0
YML129C,YKR016W,0
YLR320W,YKR016W,0
YNL155W,YKR016W,0
YBL045C,YNL026W,0
YJR045C,YDR231C,0
YGR112W,YIL051C,0
YJL014W,YDR377W,0
YGR174C,YDR231C,0
YMR256C,YGR112W,0
YDL160C,YLR320W,0
YIL157C,YDL004W,0
YPL271W,YJR045C,0
YHR051W,YOR090C,0
YDR231C,YGL122C,0
YPR042C,YDL156W,0
YEL024W,Q0080,0
YKR016W,YNR017W,0
YBR009C,Q0085,0
Q0275,YEL024W,0
YGR174C,YBL030C,0
YKR016W,Q0250,0
YJR045C,YGL187C,0
YHL004W,YBR039W,0
YPR191W,YKR016W,0
Q0020,YHL038C,0
YNR017W,YBL045C,0
YIL157C,YKR016W,0
YJR045C,Q0250,0
Q0105,YLR067C,0
Q0140,YGL187C,0
YGL187C,YKL016C,0
YDL160C,YGL187C,0
YPR042C,YGL187C,0
YJL166W,Q0130,0
YGR033C,YIL157C,0
YOR065W,Q0115,0
YGL187C,YGR112W,0
YKL155C,YGL122C,0
YJL062W-A,YKR016W,0
Q0250,YOL027C,0
YPR125W,YDL160C,0
Q0045,YBR185C,0
YGL191W,YBL030C,0
Q0250,YPR042C,0
YHR076W,Q0085,0
Q0255,YNR017W,0
YJR121W,YGR174C,0
YBR120C,Q0055,0
Q0250,Q0080,0
YML030W,YGR174C,0
YDL156W,YGL122C,0
YJR121W,YPR042C,0
YHR076W,YPL078C,0
YDL160C,YGL191W,0
YDR375C,YKL016C,0
Q0140,YDR231C,0
YDL160C,YMR256C,0
YBL045C,YJL166W,0
YLR067C,YMR256C,0
YLR295C,YDL004W,0
YHR051W,YNR018W,0
YDR375C,YGR112W,0
YDL160C,YIL157C,0
YGL191W,YPR042C,0
YJL062W-A,YJR121W,0
YJR045C,YBR037C,0
YDL156W,Q0045,0
YPR042C,YER154W,0
YJL014W,YBL099W,0
YDL160C,YGL187C,0
YGL122C,YLR203C,0
Q0080,YPR042C,0
YGL187C,YJL014W,0
YGR132C,YPL078C,0
YPR042C,YOL027C,0
YGL187C,Q0045,0
YML030W,YBL045C,0
YDR377W,YKR016W,0
YBR037C,YDL004W,0
YBR039W,YGR033C,0
YJR045C,YDR231C,0
YBL045C,Q0250,0
YPL271W,YKL016C,0
YEL024W,Q0275,0
YML129C,YEL024W,0
YNL026W,YGL187C,0
Q0140,YBL045C,0
Q0045,YDL160C,0
YNR019W,YBR255C-A,0
YDL160C,Q0130,0
YDR529C,YGL122C,0
YBR185C,YGR222W,0
YDL160C,YGL122C,0
YEL024W,YBR120C,0
YKL016C,YDR231C,0
Q0275,Q0045,0
YEL024W,YJL166W,0
YPL271W,YGR033C,0
YNR018W,YML030W,0
YIL051C,YPR191W,0
YGL122C,YBL099W,0
YBL030C,YIL111W,0
YJL166W,YOR090C,0
YML129C,YKR016W,0
YGL122C,YLR320W,0
YGL122C,YKL016C,0
Q0045,YOL027C,0
YPL078C,YML030W,0
YBL030C,YGL191W,0
YPR140W,YKR016W,0
Q0115,YLR395C,0
YBR255C-A,YOL027C,0
Q0250,YER142C,0
YKL016C,YPL271W,0
Q0250,YBR255C-A,0
