geneA,geneB,selfpairs
YER154W,YJL062W-A,0
YOR090C,Q0250,0
YKR016W,YKL155C,0
YJL014W,YOR065W,0
YOR065W,YHR051W,0
YLR320W,YDL160C,0
YJL062W-A,YML129C,0
YGL064C,YOL027C,0
YBR039W,YGL191W,0
YER154W,YHR076W,0
YJR045C,YLR203C,0
YJL062W-A,YPR191W,0
YER154W,YHR051W,0
Q0140,YBR037C,0
Q0105,YDL004W,0
YDR377W,Q0045,0
Q0250,YDR231C,0
YGL187C,YNL026W,0
YPR125W,YNL026W,0
YJR045C,YJL062W-A,0
YMR256C,YDL160C,0
YBR037C,YKL155C,0
YNR018W,YKL016C,0
YBL045C,YIL051C,0
YBR039W,YNL026W,0
YJR045C,YGL122C,0
YGR112W,YGL187C,0
YGL122C,YBR255C-A,0
YGR132C,YDR231C,0
YNR017W,YBL030C,0
Q0250,Q0050,0
YLR393W,YGL191W,0
Q0050,YPL078C,0
YHL004W,YNL026W,0
YJL062W-A,YKL016C,0
YPR125W,YPR042C,0
YBR120C,YNL052W,0
YNL052W,YIL157C,0
Q0045,YKL016C,0
YPR042C,YIL111W,0
YDL160C,Q0275,0
Q0105,YDL160C,0
Q0085,YCR106W,0
YDL160C,Q0250,0
YIL157C,YKR016W,0
YDR377W,YDR119W-A,0
YGR033C,YLR395C,0
Q0105,Q0045,0
YJR045C,YKR016W,0
Q0110,YPL078C,0
YNR018W,Q0045,0
YBL045C,YJR121W,0
YJR121W,YGL191W,0
YBL045C,YIL157C,0
YKR016W,YDR529C,0
YDR231C,YOR065W,0
YGR174C,Q0085,0
YLR395C,YDR231C,0
YML081C-A,Q0275,0
YBL099W,YJL166W,0
YPL078C,YEL024W,0
Q0140,YPR125W,0
Q0045,YDR119W-A,0
YBL075C,Q0045,0
YDL160C,YGL187C,0
YGR222W,YNR018W,0
YPR042C,YJL062W-A,0
YGR132C,YNR017W,0
YGR112W,YLR395C,0
YGL064C,YGR037C,0
YDR231C,YGL122C,0
YML030W,YDL160C,0
YOL027C,Q0250,0
YLR320W,YKR016W,0
YGL122C,YDR231C,0
YNR018W,Q0250,0
YDL160C,YGR174C,0
YKL016C,YGL191W,0
YKR016W,YOR065W,0
Q0275,YGL191W,0
YPR042C,YNL305C,0
YJL014W,YBR024W,0
YHL038C,Q0130,0
YJR045C,Q0250,0
YMR256C,Q0115,0
YLR203C,Q0275,0
YOL027C,YBL030C,0
YBL045C,YER142C,0
YGL187C,YPR042C,0
YDL160C,YKR016W,0
YGL064C,YML030W,0
YOR065W,YGR033C,0
YOL027C,YGL187C,0
YKR016W,YBR185C,0
YML081C-A,YDL160C,0
Q0140,YBL075C,0
YLR395C,YNL052W,0
YJR045C,YDR231C,0
YJR121W,YGR033C,0
Q0105,YER154W,0
YNL026W,YJR045C,0
YPL078C,YHR051W,0
YPL271W,YNL026W,0
YKR016W,Q0105,0
YGR033C,YGL122C,0
YPR125W,YJR045C,0
YHR076W,YBL030C,0
YML129C,YGR112W,0
YHR051W,YJR045C,0
YPL078C,Q0130,0
YPR042C,YHL004W,0
YKR016W,YDL004W,0
YGL187C,YDR377W,0
YNR018W,Q0045,0
YML030W,Q0250,0
Q0075,YGR222W,0
YLR295C,YGL187C,0
Q0115,Q0120,0
YIL157C,YGR062C,0
YGR222W,YEL024W,0
Q0045,YPR191W,0
Q0120,YBL099W,0
YGL122C,Q0080,0
YPR125W,YPR042C,0
YKL016C,Q0250,0
Q0275,YNL030W,0
Q0275,YEL024W,0
YKR016W,YIL111W,0
YJL062W-A,YPL078C,0
YBL030C,YGR112W,0
YBR009C,YDR119W-A,0
YDR231C,YHR051W,0
YGL187C,YMR256C,0
YKR016W,YBR255C-A,0
YBR255C-A,YJR121W,0
Q0045,YGR132C,0
YPL078C,YNL052W,0
Q0105,YDL160C-A,0
Q0115,YPL271W,0
Q0105,YLR067C,0
YNL030W,Q0250,0
YDL160C,YNL052W,0
YOL027C,YOR065W,0
Q0045,YMR256C,0
YPR140W,YKR016W,0
YNR019W,Q0140,0
YNL052W,YKL016C,0
YPR042C,YJR045C,0
