geneA,geneB,selfpairs
YML129C,YDL160C,0
YGL191W,Q0085,0
YPL215W,YIL157C,0
YGR174C,YPR191W,0
Q0275,Q0120,0
YIL111W,YPL271W,0
YJR045C,YDR119W-A,0
Q0250,Q0080,0
YJR121W,YDL160C,0
YGR174C,YGL122C,0
YDR231C,YNL030W,0
YPR042C,YJR121W,0
YGR033C,YDL160C,0
YHL004W,YML129C,0
YGR033C,Q0080,0
YDL160C,YJR121W,0
YDR231C,YJR045C,0
YBL030C,YLR203C,0
YKR016W,YGR033C,0
YIL111W,Q0120,0
YDR231C,YLR203C,0
YBL045C,YNR019W,0
YKR016W,YJR045C,0
YDL160C,YGL187C,0
YPR042C,Q0275,0
YDR529C,YJL166W,0
YJR045C,YNL052W,0
YPL078C,YBR039W,0
YBL045C,YBR255C-A,0
YGL191W,YKR016W,0
YDR231C,YML081C-A,0
Q0050,YNR018W,0
YBR255C-A,Q0140,0
YGL187C,YDR377W,0
YMR256C,Q0140,0
YPR125W,YGL187C,0
Q0275,YKR016W,0
YML030W,Q0105,0
YMR256C,YLR203C,0
YER154W,YKR016W,0
YDL160C,YGL122C,0
YDL160C,YDR231C,0
YHR051W,YGL122C,0
YBL030C,Q0080,0
YDL107W,YGR062C,0
YDR377W,YJR045C,0
YDL156W,YBL045C,0
YGL191W,YKL155C,0
YPL215W,YKL016C,0
YNL026W,YPR191W,0
YBR185C,YGR037C,0
Q0250,Q0140,0
YBL030C,YLR203C,0
YDL004W,YJL062W-A,0
Q0085,YEL024W,0
Q0050,YGR112W,0
YLR395C,Q0130,0
Q0045,YGR112W,0
YGL122C,YDL004W,0
YGL187C,YER154W,0
YIL157C,Q0250,0
YPR191W,YNL026W,0
Q0140,Q0275,0
YNR018W,YKR016W,0
YNL052W,YBL030C,0
Q0130,YKL155C,0
YNR017W,YGL187C,0
YGL122C,YGR112W,0
Q0140,YPR042C,0
YOL027C,YLR320W,0
YLR203C,YJR045C,0
YGL122C,YKR016W,0
YDR231C,YPR125W,0
YOR065W,Q0105,0
YBL099W,YIL051C,0
YDL160C,YPR191W,0
YDR529C,YMR256C,0
YNL026W,Q0105,0
YDR231C,YPL271W,0
Q0075,YLR203C,0
YBR185C,YOR065W,0
Q0250,YML081C-A,0
YML030W,Q0045,0
YLR203C,Q0250,0
Q0085,YLR295C,0
YML030W,YBL030C,0
YPR042C,YEL024W,0
