geneA,geneB,selfpairs
YBR120C,YNL026W,0
YLR203C,YLR320W,0
YJR045C,YDL160C,0
YJR045C,YEL024W,0
YGL187C,Q0080,0
Q0045,YER142C,0
YDL160C,Q0130,0
YBL030C,YNR017W,0
YNL026W,YKL016C,0
YGL187C,YNL026W,0
YGR174C,YGR112W,0
YDR529C,YBL099W,0
YJR045C,Q0115,0
YER154W,Q0130,0
YGR222W,YPL271W,0
YDL107W,YBR255C-A,0
Q0075,Q0275,0
YDL160C,YKL155C,0
YJR121W,Q0250,0
YJR121W,Q0130,0
Q0105,YGR132C,0
YPR125W,YKR016W,0
YJR045C,Q0045,0
YNL305C,YBL099W,0
Q0250,YBR024W,0
Q0080,YPL271W,0
YPL271W,YPR125W,0
YGL187C,YDL160C,0
YDR529C,YNR018W,0
YML129C,Q0110,0
Q0080,YGL122C,0
YML129C,YDL004W,0
YDR231C,YKR016W,0
YPL078C,Q0080,0
YHR051W,YIL157C,0
YNR017W,YPR191W,0
YDR377W,Q0250,0
YGL122C,YJR045C,0
YGR062C,YJR045C,0
Q0140,YBL075C,0
YKR016W,YNL026W,0
YGR174C,YMR244C-A,0
Q0085,Q0140,0
YDL160C,YML081C-A,0
Q0250,Q0085,0
YLR395C,YGL122C,0
YKR016W,YGR112W,0
YLR203C,YHR051W,0
YPL078C,YIL111W,0
Q0250,Q0050,0
YLR320W,Q0070,0
YKR016W,YJR045C,0
YBL045C,YOR090C,0
YML030W,YBL045C,0
YPL078C,Q0050,0
YKL016C,YGL187C,0
Q0130,Q0045,0
Q0275,YJR121W,0
YNR018W,YDL004W,0
Q0275,YDL160C,0
YGL122C,YJR045C,0
YJL014W,YPR042C,0
Q0085,YGL187C,0
Q0045,Q0140,0
YGL122C,Q0110,0
YPL215W,YML129C,0
YJR045C,Q0250,0
YDR119W-A,YNL026W,0
Q0065,YJL062W-A,0
YDR231C,YPL078C,0
Q0250,YGL122C,0
YGL187C,YOR065W,0
Q0250,YIL157C,0
YGL187C,YMR256C,0
YNR019W,YLR203C,0
YGR062C,Q0050,0
YPR191W,YHR076W,0
YKR016W,Q0115,0
Q0105,YLR203C,0
YGL122C,YLR395C,0
YPL215W,YPR191W,0
YOR065W,YJR121W,0
Q0250,YEL024W,0
YBR120C,YBR039W,0
YBR024W,YKR016W,0
YIL157C,Q0085,0
YGR132C,Q0085,0
Q0275,YBL030C,0
YBR039W,YPL215W,0
Q0105,YHR051W,0
Q0065,YKR016W,0
Q0055,YGL187C,0
YGL122C,YDL107W,0
YIL111W,Q0085,0
YGR174C,YDL160C,0
YJR121W,YCR106W,0
YDR375C,YNR018W,0
YGR112W,YJR045C,0
YML129C,Q0045,0
YJR121W,YGL187C,0
YDR231C,YLR295C,0
YDR377W,YDL160C,0
YBR037C,YPL078C,0
YOR065W,YKR016W,0
YGL187C,YGR112W,0
YHR076W,YDL004W,0
YDR231C,YBL045C,0
YPR042C,Q0275,0
Q0045,YGR033C,0
YMR244C-A,YJR121W,0
YBR009C,YPR042C,0
YBL099W,YBR024W,0
YIL157C,YKL016C,0
YKR016W,Q0250,0
YKR016W,YPR042C,0
YLR393W,YDL160C,0
YBR039W,YGR174C,0
YDL160C,YDR119W-A,0
YOR065W,YGR033C,0
YER154W,YPR125W,0
YML129C,YGL122C,0
YGL187C,YNL305C,0
YDR529C,YJR045C,0
YPL078C,YGL122C,0
Q0275,YKL016C,0
YDL156W,YHL004W,0
YEL024W,YJL062W-A,0
YHR051W,YDL160C,0
YJR045C,Q0250,0
YLR382C,YML030W,0
YJR045C,YGL122C,0
YNR018W,YOL027C,0
YMR244C-A,Q0275,0
YEL024W,YJL166W,0
Q0045,Q0140,0
YIR021W,YGR222W,0
Q0120,YLR320W,0
YPR191W,Q0055,0
YJL062W-A,YLR395C,0
YPL078C,YLR395C,0
YOL027C,Q0250,0
YDR231C,YJR045C,0
Q0130,YPR042C,0
YHR051W,Q0045,0
YML129C,YGL187C,0
YBR039W,Q0085,0
YER154W,YJL062W-A,0
YNR018W,YGR033C,0
YOR065W,YEL024W,0
YBL099W,YOR090C,0
YML129C,YDR231C,0
YGL187C,YDR529C,0
YBL030C,YNL052W,0
Q0085,YKR016W,0
YIL051C,YPL271W,0
YPR042C,YGL187C,0
YLR067C,Q0250,0
YDR377W,Q0050,0
YEL024W,YJR045C,0
YPL078C,Q0140,0
YLR320W,YHL004W,0
YIL051C,YDL160C,0
Q0050,YJL014W,0
YOL027C,YPR191W,0
YKL016C,YGL191W,0
YKR016W,YDL160C,0
YNR019W,YDL160C,0
YDR529C,YPR042C,0
YDL160C,YKR016W,0
Q0140,YIL111W,0
YDL160C,Q0250,0
Q0250,YBR024W,0
YDR231C,YKL016C,0
YGR222W,YGL191W,0
YGL187C,YDL156W,0
YBL030C,Q0105,0
YLR295C,Q0045,0
Q0080,YPL215W,0
YDL160C,YBL045C,0
Q0130,YLR320W,0
Q0060,Q0115,0
YBL030C,YGL187C,0
YGL187C,Q0275,0
YJL166W,YLR395C,0
YKR016W,Q0045,0
YOR065W,YNL155W,0
YDL160C,Q0085,0
Q0275,YER154W,0
YHL004W,YPR042C,0
YDL156W,YBL045C,0
YGR222W,YLR320W,0
YGR033C,YOL027C,0
YNL305C,YDL004W,0
Q0250,YML129C,0
Q0045,YBL099W,0
YNL305C,Q0250,0
YGL122C,YKL155C,0
YDL160C,YLR203C,0
YLR203C,YPR125W,0
YEL024W,YML081C-A,0
YNR018W,YNR017W,0
YOR065W,YBR255C-A,0
Q0250,YGL187C,0
YNR018W,YDR231C,0
Q0105,YBL030C,0
YML129C,YGL187C,0
YBL045C,YER154W,0
YGR062C,YBR185C,0
YNL026W,YKL016C,0
Q0275,YEL024W,0
YER154W,Q0275,0
Q0158,YGL064C,0
YML030W,YBR120C,0
YPR042C,YDL107W,0
YKR016W,YBL075C,0
YLR295C,YBL030C,0
YBL045C,YGL187C,0
YGL187C,YOR065W,0
YGR112W,YDR375C,0
Q0105,YJL062W-A,0
YJR045C,YKR016W,0
YGL064C,YIL111W,0
YGR132C,YML129C,0
YDL160C,YJR045C,0
YPR191W,YJL014W,0
YDL160C,YGR112W,0
YPL215W,YBR120C,0
YBL099W,YOL027C,0
Q0085,YJL166W,0
YDR375C,YOR090C,0
YER154W,YMR244C-A,0
YBL045C,YDL160C,0
YDL160C,YDR377W,0
YEL024W,YGR037C,0
YGL187C,YPL172C,0
YLR320W,YHL038C,0
YDL107W,YGL122C,0
YDR529C,Q0275,0
YNL030W,YML030W,0
Q0105,YGL122C,0
YKL016C,YGL187C,0
YBR120C,Q0250,0
YMR256C,YJR045C,0
YLR393W,YPR125W,0
YLR395C,YNL052W,0
YPL215W,YPL271W,0
Q0045,YKR016W,0
YBL030C,YNL052W,0
YKL016C,YIL111W,0
YGL187C,YML081C-A,0
YGL191W,YGL187C,0
YLR067C,Q0250,0
YBR009C,YBR255C-A,0
YOR065W,YML081C-A,0
YBL030C,YPR191W,0
Q0085,YGR062C,0
YDL160C,YGR033C,0
YNL026W,Q0158,0
YJL014W,YBR037C,0
YLR320W,Q0275,0
YJL166W,YPL172C,0
YJL062W-A,YNL026W,0
YPR042C,Q0050,0
YHL038C,YJR045C,0
YLR320W,YBL045C,0
YBR009C,YGR112W,0
YJR045C,YNL026W,0
YBL045C,Q0255,0
YBR024W,Q0130,0
YDR119W-A,YJL166W,0
YNL026W,Q0130,0
Q0250,YDL004W,0
YKL155C,Q0105,0
YJR045C,YBL099W,0
YBL045C,YGL187C,0
YKL155C,Q0105,0
YGL187C,YJR045C,0
YDR231C,YDR529C,0
YHR076W,YNR019W,0
YDR119W-A,YGR112W,0
Q0085,YGR112W,0
Q0045,YGR033C,0
YNL052W,YGR132C,0
YNR018W,YGL122C,0
YML129C,YHR051W,0
YIL111W,YLR203C,0
YPR191W,YGL187C,0
YOR065W,YML129C,0
YEL024W,YMR244C-A,0
YKR016W,YML030W,0
YNL030W,YPR042C,0
YGL122C,YNL026W,0
YPL172C,YBL030C,0
Q0110,YJR045C,0
Q0140,Q0250,0
YIL157C,YJL166W,0
YIR021W,YJR121W,0
Q0105,YML129C,0
YGL191W,YNR018W,0
YPL271W,YDR529C,0
YJR045C,YNL052W,0
YKR016W,YPR042C,0
