geneA,geneB,selfpairs
YNR018W,YPR191W,0
YGR174C,YKR016W,0
YJR045C,YLR203C,0
YKR016W,Q0085,0
Q0275,Q0130,0
YDL160C,YHR076W,0
YGL122C,YGR112W,0
YJL166W,YGL064C,0
YOR065W,YGL122C,0
YJR121W,YLR382C,0
YGL064C,YER154W,0
YDR375C,YLR295C,0
YGL187C,YGR132C,0
Q0085,YDR231C,0
Q0045,Q0250,0
YIL157C,YBL099W,0
YKL016C,YBR185C,0
YGL122C,YDL107W,0
Q0250,YEL024W,0
Q0105,Q0085,0
YJR045C,YJL166W,0
YBR120C,YGR112W,0
YPL271W,YBR024W,0
YPR125W,YPR042C,0
YGL187C,YDL004W,0
YJR121W,YPR042C,0
YER142C,YBR009C,0
YGL122C,YLR203C,0
YKR016W,Q0070,0
YOR065W,YIL051C,0
YDL160C,YPL271W,0
YGL122C,YOL027C,0
YJR045C,Q0275,0
YBR037C,Q0250,0
Q0120,YBL045C,0
YBL030C,YML030W,0
Q0158,YER154W,0
YPL215W,Q0105,0
Q0055,YJR045C,0
YGR062C,YNL030W,0
YGR112W,YNR017W,0
Q0050,YGL187C,0
YHR051W,Q0275,0
YPR042C,Q0045,0
YLR067C,YDL004W,0
YLR203C,YNL026W,0
YHR076W,YBR024W,0
YJL166W,YGL187C,0
YPR125W,YDL160C,0
YML129C,YHL038C,0
Q0055,YNL026W,0
Q0105,YEL024W,0
YGL187C,YJR045C,0
YBL045C,YPR042C,0
YKR016W,YNL052W,0
YDR119W-A,Q0250,0
YLR393W,Q0080,0
YBR039W,YGL187C,0
YPR042C,YJR121W,0
YIL111W,YER154W,0
YJL062W-A,YPR191W,0
Q0275,Q0085,0
YLR320W,YJR045C,0
YKL016C,YJL062W-A,0
YIL157C,YML081C-A,0
YLR320W,YDL160C,0
Q0130,Q0105,0
YPL078C,YBR255C-A,0
YKR016W,YGR222W,0
YJL062W-A,YJL166W,0
YJL166W,Q0045,0
YBL045C,YNL026W,0
YDR231C,YLR295C,0
YNL030W,YMR256C,0
YJL062W-A,YBR009C,0
YNL026W,YPL078C,0
YDL160C,Q0105,0
YBR185C,YDR231C,0
YJL014W,YPL078C,0
Q0045,Q0250,0
YDR231C,YML030W,0
YER154W,YGL187C,0
YNR018W,Q0250,0
YNL052W,YJR045C,0
Q0085,YLR203C,0
Q0045,Q0080,0
YGR033C,Q0105,0
YNL026W,Q0275,0
YKL016C,YJR045C,0
YGL122C,YMR256C,0
YBR185C,YDL160C,0
YNL026W,YNR017W,0
Q0140,YLR203C,0
Q0140,YBR039W,0
Q0250,YNR018W,0
Q0070,YOR065W,0
YGR112W,YJR045C,0
Q0045,YGL187C,0
YBR120C,YML081C-A,0
YGR062C,YBL075C,0
YPL078C,YJR121W,0
YKR016W,YLR203C,0
YLR203C,Q0120,0
YHR051W,YBR255C-A,0
YDR377W,YMR256C,0
YBL030C,YDL160C,0
YLR203C,Q0250,0
YEL024W,YPR042C,0
YIL111W,YLR395C,0
YBR039W,YLR203C,0
YBR255C-A,YGR222W,0
