geneA,geneB,selfpairs
YEL024W,YIL157C,0
YGL187C,YJR045C,0
YPR140W,YKL016C,0
YJL062W-A,YDR377W,0
YBL045C,YPR125W,0
YMR244C-A,YNL155W,0
YGL191W,YBL099W,0
Q0250,YNL052W,0
YHR051W,YDL160C,0
Q0250,YDR231C,0
YDR375C,YJR045C,0
YDL160C,YGR112W,0
YNR017W,YPL215W,0
YML030W,YBR024W,0
YBL045C,YBR009C,0
YPR042C,YJR121W,0
YNL030W,YGR112W,0
YML129C,YHR051W,0
Q0085,YKL016C,0
Q0045,YJR045C,0
YNL052W,YJR121W,0
YDR231C,YDR119W-A,0
Q0045,YPR042C,0
YLR295C,YDR119W-A,0
YDR119W-A,YKR016W,0
YDL107W,YBR120C,0
YER154W,YPL215W,0
YPL078C,YJR121W,0
Q0130,YEL024W,0
YML129C,YGL122C,0
YJR121W,YBL099W,0
YNR018W,YML129C,0
Q0250,YDL160C,0
YML030W,YHR076W,0
YNL026W,YJL166W,0
Q0275,YGL122C,0
Q0080,YBL045C,0
Q0140,YBR120C,0
YPL172C,YBL075C,0
YNR018W,YOR065W,0
YGL122C,Q0250,0
YNR017W,YPL078C,0
YGR112W,YGL187C,0
YDR231C,YNL026W,0
YPR191W,YPR125W,0
YGR033C,YDL160C,0
YHR076W,YJL062W-A,0
YPR042C,Q0120,0
YNR018W,YHR051W,0
YBL030C,Q0140,0
Q0045,YML081C-A,0
YNL026W,YGL187C,0
Q0045,YPL078C,0
YDL160C,YGR174C,0
YBL045C,YPL078C,0
YNR018W,YPR191W,0
YHL004W,YNL026W,0
YGL064C,YEL024W,0
YOL027C,YKR016W,0
YBL045C,YLR067C,0
Q0105,YDR119W-A,0
YDR231C,Q0045,0
YGL122C,YDL160C,0
YHR051W,Q0250,0
Q0080,YER142C,0
Q0050,YNL030W,0
YGR222W,YPL271W,0
YGR112W,YHR051W,0
Q0120,YDR231C,0
Q0080,YHR051W,0
YKR016W,YKL155C,0
YPR191W,YOR090C,0
YGL122C,YGR033C,0
YPR191W,YMR256C,0
YLR295C,YPR191W,0
YGR132C,YGL187C,0
YEL024W,YIL157C,0
YDL160C,Q0080,0
YGL187C,YKR016W,0
Q0250,YPL215W,0
Q0060,YGL122C,0
YKL016C,Q0250,0
YBR009C,YDR529C,0
YNL052W,YKL016C,0
Q0140,Q0045,0
YLR067C,YBR120C,0
Q0115,YJL166W,0
YKR016W,YML030W,0
YGR112W,YGR174C,0
YPL271W,YDL160C,0
YBR185C,YNR018W,0
YDL107W,Q0105,0
YDL160C-A,YKR016W,0
YPR125W,Q0045,0
Q0045,YLR320W,0
YGR033C,YDL160C,0
YGR112W,YKR016W,0
YLR203C,YKR016W,0
YDL160C,Q0275,0
YEL024W,YDL160C,0
YPR191W,YLR395C,0
YBL099W,Q0158,0
Q0045,Q0085,0
YNL026W,YLR395C,0
YNL052W,YBL045C,0
YLR203C,YDR529C,0
YPL078C,YER154W,0
YDR377W,Q0250,0
YKR016W,YER142C,0
YGL187C,YIL111W,0
YGL191W,YML129C,0
YNL026W,YBL045C,0
YGL187C,Q0105,0
Q0120,YNL030W,0
YOR065W,YGR222W,0
YPR042C,YNL305C,0
