geneA,geneB,selfpairs
YBL045C,YBR037C,0
YJL014W,Q0105,0
Q0075,Q0275,0
YPR140W,YJR121W,0
YNL030W,YBL030C,0
YGL187C,YNL052W,0
YIL157C,YDL160C,0
YDR231C,YNL026W,0
YER154W,YEL024W,0
Q0085,YLR295C,0
YJR045C,YPL078C,0
YNL026W,YIL111W,0
YML030W,YPL215W,0
YKL155C,YKR016W,0
YDL160C,Q0115,0
Q0105,YPR042C,0
YLR395C,YPL271W,0
YML081C-A,Q0080,0
YPR042C,YBR255C-A,0
YKR016W,Q0115,0
Q0080,YPL078C,0
Q0140,YGL122C,0
YPL271W,YGL122C,0
YJR045C,Q0045,0
YKR016W,YGL187C,0
YNL052W,YDR231C,0
YKR016W,YKL155C,0
YNL026W,YNR017W,0
YJL062W-A,YJR045C,0
YGR062C,YDR377W,0
YEL024W,YJR121W,0
YNL155W,YBL045C,0
YDL160C,Q0250,0
YJR045C,Q0140,0
Q0045,YGR174C,0
YDL156W,Q0085,0
Q0050,Q0045,0
YNR017W,YJR121W,0
YNR017W,YJR121W,0
Q0085,YPL078C,0
Q0275,YGL122C,0
YBL045C,YNL052W,0
YJR045C,YGL191W,0
YHR051W,Q0130,0
YPR042C,YIL157C,0
YPR042C,YGR222W,0
YBL030C,YMR256C,0
YGL122C,Q0045,0
YML081C-A,YJL062W-A,0
YHR051W,YBR039W,0
YBR024W,YGR112W,0
YDL004W,Q0140,0
YEL024W,Q0275,0
YKR016W,Q0130,0
YGR033C,YDL156W,0
YOR090C,Q0250,0
YEL024W,YGR222W,0
YDR377W,YBL045C,0
YDL160C,YJR045C,0
YLR395C,YBL045C,0
YNL026W,YLR203C,0
YGL187C,YDL160C-A,0
YBR009C,Q0045,0
YIL051C,YBR185C,0
YGL122C,YLR295C,0
YGL122C,YBL099W,0
YBL099W,YDL004W,0
YJL062W-A,YER154W,0
YPR042C,YHL004W,0
YPR042C,YBR185C,0
Q0250,YKL155C,0
YER154W,YML081C-A,0
YPL078C,YKR016W,0
YBL075C,YNL026W,0
YPR042C,Q0120,0
Q0045,Q0115,0
YDR231C,Q0250,0
YML030W,YLR203C,0
YDR119W-A,YPR125W,0
YMR244C-A,YJR045C,0
YMR256C,YNL026W,0
YIL157C,Q0055,0
YGL187C,YBL045C,0
YDR529C,YNL052W,0
YBL075C,YJR121W,0
YLR393W,YBL030C,0
YBR185C,YHR076W,0
YGR112W,Q0250,0
Q0045,YEL024W,0
Q0130,YDL160C,0
YLR382C,YJR045C,0
YNR017W,YKR016W,0
YGL191W,YBL045C,0
YDR231C,Q0085,0
YNR017W,YPR125W,0
YGL187C,Q0250,0
YJL166W,YGL122C,0
YDL160C,YBL030C,0
YGL187C,YER154W,0
Q0070,YDR231C,0
Q0045,Q0250,0
Q0080,YGR132C,0
YNL305C,YKL155C,0
YOR065W,YOL027C,0
YOR090C,YBR255C-A,0
YBR255C-A,YIL157C,0
YMR244C-A,Q0065,0
YJL014W,YJR045C,0
Q0085,YDL160C,0
YPR191W,YGL122C,0
YDR529C,YMR244C-A,0
YML030W,YGL122C,0
YMR256C,YKR016W,0
YPL215W,YDL160C,0
YML129C,YDL160C,0
YPR125W,YIL111W,0
YBR009C,YPR042C,0
YBL045C,YDR231C,0
YPL172C,YOR065W,0
YGR062C,YDL004W,0
YDR377W,YGR174C,0
YGR033C,YJL014W,0
YOR090C,YGR222W,0
YJL166W,Q0105,0
YDL107W,YEL024W,0
Q0275,YLR203C,0
Q0080,YML030W,0
YOR065W,YGR112W,0
YKR016W,YGR112W,0
YBL045C,YPL215W,0
YDL160C,YDR231C,0
YBL045C,YJR045C,0
YOR090C,YJR121W,0
YDL160C,Q0045,0
YGL187C,YEL024W,0
YOL027C,YBR024W,0
YPL215W,YKL016C,0
YKR016W,Q0120,0
YBR024W,YPR191W,0
Q0085,YNL052W,0
