id1	id2	selfpairs
YNL305C	YJL062W-A	0
YNL030W	YGL187C	0
Q0250	YLR203C	0
YNR017W	YOR090C	0
Q0275	YHR076W	0
YDL156W	YBR009C	0
YGL187C	YDL160C	0
YOR065W	YGL122C	0
Q0065	Q0105	0
YPR042C	YJL062W-A	0
YHL004W	YGR222W	0
YGR174C	YML030W	0
YGL187C	Q0250	0
Q0275	YLR320W	0
YLR295C	YML081C-A	0
YLR395C	Q0275	0
YML030W	YPL215W	0
YGR037C	Q0055	0
YJR045C	YKR016W	0
YLR320W	YGL122C	0
YJR045C	Q0255	0
YDR375C	YGR033C	0
YEL024W	YHR051W	0
Q0045	YDL160C	0
YGR222W	YJR045C	0
YPL078C	YKL016C	0
YPL271W	YBR037C	0
YJL062W-A	YDR377W	0
YGL064C	YDL160C	0
YLR067C	YHL038C	0
YNR017W	Q0250	0
YGL187C	YIL157C	0
YLR203C	YPR125W	0
YBR009C	YMR244C-A	0
Q0250	YNL026W	0
YDL160C	Q0115	0
Q0140	YDR375C	0
YJR121W	YBL099W	0
YKR016W	Q0140	0
YGR174C	YDR231C	0
YGL122C	YLR382C	0
YDL004W	YGR037C	0
YDL160C	YLR393W	0
YDR231C	YPR042C	0
YBL045C	YKR016W	0
YDR377W	YGL187C	0
YGL122C	YDL160C	0
YDL160C-A	Q0105	0
YIL111W	YBL045C	0
YML129C	YBL045C	0
YLR203C	Q0250	0
YOL027C	YDL160C	0
YML081C-A	YJR121W	0
YPR191W	YHR051W	0
YBL030C	YPR042C	0
YGR222W	YKR016W	0
YDL107W	Q0250	0
YBR185C	YDL160C	0
YHL004W	YDL156W	0
YML081C-A	YDR529C	0
Q0105	YJR045C	0
YNR017W	YBL099W	0
YJL062W-A	YNL155W	0
YKR016W	YGL191W	0
Q0250	YML030W	0
YPL078C	YOL027C	0
YBL045C	YGL122C	0
YNL052W	Q0250	0
YGL187C	Q0105	0
YNR018W	YJL014W	0
Q0045	YBR185C	0
YBL075C	Q0045	0
YLR320W	YDR529C	0
YPR042C	YHR076W	0
YBR009C	YHR051W	0
YDL160C	Q0275	0
YJL014W	Q0045	0
YER154W	YJL166W	0
YPL172C	YKL155C	0
YNL026W	YKR016W	0
YMR256C	YOL027C	0
YKR016W	YGL187C	0
YML030W	YGL122C	0
YOL027C	YLR395C	0
YKR016W	YPL271W	0
YOR065W	Q0075	0
Q0140	YGR222W	0
YDL160C	Q0130	0
YNR018W	YDR119W-A	0
YNL052W	YDL160C	0
YBR037C	Q0130	0
YLR395C	YDL160C	0
YKR016W	Q0105	0
YDR529C	Q0130	0
YNR017W	YJL062W-A	0
YPR191W	YDR231C	0
YKL016C	YGR033C	0
YBL045C	YPR042C	0
YJR045C	YNL052W	0
Q0045	YPL078C	0
YBL045C	Q0050	0
YLR320W	YDL160C	0
YPR191W	Q0250	0
YLR203C	YIL051C	0
