geneA,geneB,selfpairs
YJR045C,YIL111W,0
YDR529C,YNL026W,0
Q0045,YPR042C,0
YDR119W-A,Q0020,0
YNR018W,YDR231C,0
YPR042C,Q0140,0
YGL187C,YJR121W,0
YGR062C,YOL027C,0
YPR125W,YNL052W,0
YOR065W,YJR121W,0
YML030W,YOR065W,0
YEL024W,YNR018W,0
YJR121W,YJL062W-A,0
YGL187C,YPL172C,0
YJR121W,YLR203C,0
YJL014W,YGL191W,0
YNL305C,YBR120C,0
Q0120,Q0250,0
YKL016C,YPR042C,0
YIL111W,YPR191W,0
Q0250,Q0085,0
YHR051W,Q0045,0
Q0275,YGR112W,0
YDR529C,YNR017W,0
YKR016W,YDL160C,0
YBR120C,YBL045C,0
YGR222W,YNL026W,0
YNL026W,YLR395C,0
YGL187C,YPL271W,0
YLR203C,YGL187C,0
Q0080,YPR042C,0
YJL062W-A,YPL215W,0
Q0105,YGL122C,0
YJR121W,YPR042C,0
YJR121W,YBR039W,0
YJR121W,YBR185C,0
YBL045C,YOR065W,0
YJR121W,YNR018W,0
YNL155W,YPR042C,0
Q0250,Q0085,0
Q0045,YDR377W,0
YGL122C,Q0250,0
YGL191W,YDL156W,0
Q0045,YPR125W,0
YML129C,Q0045,0
YPL078C,YHL038C,0
YGL122C,YHR051W,0
Q0250,YKR016W,0
YGL122C,YLR203C,0
YGL122C,YJR045C,0
YDR231C,YKR016W,0
YDR529C,YML081C-A,0
YBL075C,YGL122C,0
YDL160C,YIL051C,0
Q0105,YDL107W,0
YJR121W,YNL026W,0
YDR231C,Q0050,0
YHL038C,YNL026W,0
YGR112W,YPL078C,0
YER154W,YOR065W,0
YGR174C,Q0105,0
YDL160C,YNL026W,0
YHL004W,YDR377W,0
Q0085,Q0080,0
Q0120,YDR231C,0
YML030W,YPL078C,0
YML129C,YBL030C,0
YDL160C,Q0115,0
YKL016C,YPR042C,0
YPR042C,YDR377W,0
Q0140,YER154W,0
YJL062W-A,YDR375C,0
YMR244C-A,YPL078C,0
YLR320W,YNR019W,0
YBL045C,YKL016C,0
YNR018W,YML129C,0
Q0250,YJL014W,0
YGR062C,YBL075C,0
YOR065W,YHR076W,0
YBL045C,YBL030C,0
YDL004W,YPL215W,0
YJL062W-A,YML081C-A,0
YKR016W,YMR256C,0
YPR042C,YDL160C,0
YJL166W,YHR051W,0
YBR039W,YKR016W,0
YDR231C,YLR382C,0
YNL052W,Q0130,0
YBL030C,YPR042C,0
YJR045C,Q0250,0
YMR244C-A,YPL271W,0
YDL004W,YGL187C,0
YDR231C,YDL004W,0
YMR256C,YBR009C,0
YML030W,YPR125W,0
YGL122C,Q0105,0
YGR033C,Q0250,0
YDL160C,YPR191W,0
YKR016W,Q0275,0
Q0140,YJR045C,0
YBL030C,YGR033C,0
YBL030C,YBR120C,0
YGR112W,YLR067C,0
YGL187C,YJR045C,0
YOR065W,YBL099W,0
