geneA,geneB,selfpairs
YOR065W,Q0045,0
YJR121W,Q0158,0
Q0105,YPR191W,0
YGR112W,YBL099W,0
YGL122C,YGR222W,0
Q0060,YGL187C,0
YNL026W,YBL045C,0
YML081C-A,YNR019W,0
YPR042C,YDL160C,0
YOR090C,YGR062C,0
YGR112W,YGL187C,0
YGL122C,YDR231C,0
YHR051W,YJR045C,0
YIL157C,Q0250,0
YML129C,YGL122C,0
YLR395C,YPR042C,0
YDL160C,YKL016C,0
YBR009C,Q0105,0
YJR045C,Q0050,0
Q0085,YDL160C,0
Q0275,YLR295C,0
YOL027C,YGL187C,0
YGL187C,YGL122C,0
YML030W,YLR395C,0
Q0080,YGL187C,0
YBR185C,Q0045,0
YLR393W,YDR231C,0
Q0045,YPR125W,0
YDL160C,Q0105,0
YGL122C,Q0250,0
YLR320W,YGR132C,0
YBL099W,YPR042C,0
YOL027C,YDR231C,0
YKR016W,YBR024W,0
YGL191W,YJL062W-A,0
Q0250,Q0275,0
YNL052W,YGL122C,0
YNR018W,YJL062W-A,0
YBL030C,Q0045,0
YMR256C,YJL166W,0
YPR125W,Q0250,0
YGL122C,YDL160C,0
YJL062W-A,YGR033C,0
Q0130,YBR024W,0
YJR045C,YBR120C,0
YBL045C,Q0045,0
YHR051W,Q0140,0
Q0105,YLR203C,0
YHR051W,YER154W,0
YML030W,YDR529C,0
YNL026W,YKR016W,0
YGL187C,YBR037C,0
YML129C,YHR051W,0
YNL026W,YBL045C,0
YPR042C,YGL191W,0
YGR132C,YDR529C,0
YGL122C,Q0110,0
YBR039W,YPR125W,0
YNR017W,YDL160C,0
YGL187C,Q0140,0
YGR222W,Q0050,0
YEL024W,YGL122C,0
YKR016W,YIL157C,0
YKL016C,Q0060,0
Q0105,Q0085,0
YNL030W,YDL004W,0
YNR018W,YLR320W,0
YGR112W,Q0250,0
YDL160C,YOR065W,0
Q0045,YKR016W,0
YBL075C,YJR121W,0
Q0110,YGL187C,0
YBR255C-A,Q0250,0
YNL305C,YBL099W,0
YKR016W,Q0085,0
YNL026W,YJL166W,0
YGL122C,YPL215W,0
YGR222W,YDL160C,0
YOR065W,YKL016C,0
YBL045C,YJR045C,0
YKR016W,YIL051C,0
YBR039W,YJR121W,0
YDR375C,YOR065W,0
YJR045C,YIR021W,0
YEL024W,YDR231C,0
YGR112W,YKR016W,0
YBL099W,YJR045C,0
YGL187C,YOR090C,0
YML030W,YBR120C,0
YGL122C,YDL160C,0
YDR119W-A,YLR203C,0
YKR016W,YBR024W,0
YHR076W,YOR065W,0
YJL166W,YPR042C,0
YPR042C,YGR037C,0
YNL026W,YPR140W,0
YHR076W,YDR529C,0
YMR256C,YGR033C,0
YOL027C,YKR016W,0
Q0130,YML030W,0
Q0080,Q0105,0
YBR024W,YHL004W,0
Q0115,YML129C,0
YDR231C,YJL062W-A,0
YKL016C,YDR119W-A,0
YNR017W,YEL024W,0
YNL052W,YDL160C,0
YPL078C,YPL271W,0
YLR295C,Q0140,0
YNR017W,YDR377W,0
YBL045C,Q0275,0
